                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95734,                 3.0806,                 1.5909,                 0.2693,                0.56017,                0.24213,                0.14204,                 1.3352,                 2.6427,                 2.5112,               0.000254,               0.000254,               0.000254
                      2,                0.93895,                 2.3207,                  1.535,                0.40454,                0.55627,                0.36723,                0.22638,                  1.119,                  2.217,                  2.263,             0.00050528,             0.00050528,             0.00050528
                      3,                0.91344,                 2.0937,                 1.5195,                0.38046,                0.57532,                0.34112,                 0.2008,                  1.216,                 2.0686,                 2.1856,             0.00075149,             0.00075149,             0.00075149
                      4,                0.89201,                 1.9265,                 1.4906,                0.28212,                  0.747,                0.41351,                0.27189,                 1.1608,                 1.8914,                 2.1609,             0.00074616,             0.00074616,             0.00074616
                      5,                0.87492,                 1.8469,                 1.4623,                 0.2267,                0.55999,                0.28872,                0.19714,                 1.1163,                 2.1846,                 1.9617,             0.00074616,             0.00074616,             0.00074616
                      6,                0.85318,                 1.7672,                 1.4631,                0.43415,                0.55505,                0.38568,                0.22901,                 1.3578,                 2.0341,                 2.1492,             0.00073855,             0.00073855,             0.00073855
                      7,                0.86115,                 1.7217,                 1.4691,                0.43493,                0.58587,                0.43705,                0.27446,                 1.1627,                 1.5824,                 2.1535,             0.00073093,             0.00073093,             0.00073093
                      8,                0.84784,                 1.6483,                 1.4499,                0.38188,                0.63965,                0.50481,                0.30039,                 1.3537,                 1.5434,                 2.2122,             0.00072332,             0.00072332,             0.00072332
                      9,                0.83211,                 1.6207,                 1.4349,                0.53027,                0.56419,                0.44975,                 0.2936,                 1.1055,                 1.5113,                 2.0258,             0.00071571,             0.00071571,             0.00071571
                     10,                0.84831,                 1.5796,                  1.446,                0.39866,                0.65074,                0.50583,                0.32786,                 1.1084,                 1.3788,                 2.1008,              0.0007081,              0.0007081,              0.0007081
                     11,                0.81072,                 1.5779,                 1.4348,                 0.3362,                0.61449,                0.43938,                 0.3033,                 1.0485,                 1.6698,                 1.9957,             0.00070048,             0.00070048,             0.00070048
                     12,                0.79468,                 1.5338,                  1.416,                0.44315,                0.51181,                0.45921,                0.29953,                   1.12,                 1.5437,                 2.1239,             0.00069287,             0.00069287,             0.00069287
                     13,                0.79441,                 1.5124,                 1.4214,                0.42307,                0.68156,                0.51192,                0.35101,                 1.0746,                 1.4211,                 1.9378,             0.00068526,             0.00068526,             0.00068526
                     14,                0.81131,                 1.5048,                 1.4217,                0.42452,                0.66671,                0.52879,                 0.3571,                 1.0971,                 1.3656,                 1.9547,             0.00067764,             0.00067764,             0.00067764
                     15,                0.80603,                 1.4807,                 1.4148,                0.48519,                0.66294,                0.56015,                0.36949,                  1.091,                 1.2085,                 1.9578,             0.00067003,             0.00067003,             0.00067003
                     16,                0.79658,                  1.443,                 1.4122,                0.35479,                0.71924,                0.54568,                0.37039,                 1.0816,                   1.27,                 1.9111,             0.00066242,             0.00066242,             0.00066242
                     17,                0.80028,                 1.4425,                 1.4141,                0.48489,                0.66933,                0.58105,                0.39072,                 1.0672,                 1.1906,                 1.9053,              0.0006548,              0.0006548,              0.0006548
                     18,                 0.8028,                 1.4302,                 1.4147,                  0.424,                0.68772,                0.53868,                0.35143,                 1.0979,                 1.2767,                 1.9642,             0.00064719,             0.00064719,             0.00064719
                     19,                0.78534,                  1.439,                  1.405,                0.50787,                0.69907,                0.59889,                0.39437,                 1.1337,                 1.1974,                 1.9989,             0.00063958,             0.00063958,             0.00063958
                     20,                0.79618,                 1.3972,                 1.4151,                0.42826,                0.56191,                0.49138,                0.32284,                 1.1314,                 1.7087,                 2.0325,             0.00063196,             0.00063196,             0.00063196
                     21,                0.77882,                 1.4052,                 1.4008,                 0.5359,                0.69045,                0.59221,                0.40067,                 1.0536,                 1.2048,                  1.881,             0.00062435,             0.00062435,             0.00062435
                     22,                 0.7867,                 1.4088,                 1.4078,                0.48372,                  0.685,                0.56027,                  0.364,                 1.2209,                 1.3662,                 2.0309,             0.00061674,             0.00061674,             0.00061674
